"water_year","All Taxa","Acartia Adult","Acartiella sinensis Adult","Daphnia Adult","Diaphanosoma Adult","Eurytemora affinis Adult","Eurytemora affinis Juvenile","Hyperacanthomysis longirostris Adult","Limnoithona tetraspina Adult","Neomysis kadiakensis Adult","Neomysis mercedis Adult","Pseudodiaptomus forbesi Adult","Pseudodiaptomus Juvenile","Tortanus Adult"
1993,76.8956877893511,34.7560872157531,NA,102.971333360762,106.804998552047,77.5537928506712,70.0294372205192,68.0600164557398,78.3309136254474,NA,57.1722862167818,81.8817310432995,92.0185248466072,NA
1994,82.8591515204185,47.751050763812,75.7320995223488,116.368925321164,114.850710795428,107.478972155706,103.683781327615,72.7256343052883,71.2440207458216,64.7080455710966,79.2268704549203,100.683948184588,107.681807236819,60.105679195939
1995,70.1855391403693,43.8919306840436,64.0423224101964,98.0640663228532,100.391799531956,58.951116387884,77.9052187907002,64.1920286702515,60.19328651772,58.8405248024056,72.2475570851537,76.8104729438267,89.1671930595737,42.9937113925781
1996,81.0303140594665,42.5985177046439,69.221279892531,108.202378769735,111.829080834421,92.1487755853259,104.94741479681,67.1372046903639,65.6560397465567,59.0314809038339,80.9547200851792,78.7488570255097,97.9425613072676,47.205604407134
1997,71.9443359699874,37.3328760979487,72.3968562968169,110.938300389825,116.375905740179,91.8064676123843,79.1532155340444,68.4601355975273,65.923412643715,60.0891505977267,74.8742826331532,92.1782066489889,104.868875086183,51.1711314113102
1998,48.179908699396,30.0174704830615,60.1210726317244,87.8903345060876,92.3512148061788,58.7811603197577,62.382388049657,56.4433130416063,43.4049547100181,50.7583151784216,79.370120642369,80.5518616299474,71.8885466709337,38.2155378856681
1999,79.1240467139831,35.8701933812231,31.3974274882127,108.948741056074,110.650800025236,84.3923993964891,84.1359843836743,64.2274033867859,62.9116825972554,54.8610940768417,80.1369462773143,82.8142243163656,99.8583088318482,49.3926861891413
2000,73.4173789784667,34.2902230809479,44.5565010047086,110.565457471687,116.038780577653,59.5695826312348,62.9156494720794,67.2081704544994,59.5920607728694,55.7269789663832,76.8128664273727,87.6889703586023,99.171052996044,50.1123942316161
2001,83.1931765122468,40.7174856418362,71.5708832694215,110.591015432816,116.331229672644,85.1340367030802,77.7116629962722,71.0829831703952,70.5669982189168,62.1363460848844,83.0073591642936,93.2757664031283,105.208956874567,51.9354051616616
2002,82.0106583692613,38.2990254095211,69.9067103230359,115.519038788228,118.26546327961,91.0977125186616,89.4049659949999,68.8836737332632,65.696539296519,62.8526416974336,77.746380962141,102.985771384516,106.714589104129,54.6847239293842
2003,71.1298648377681,41.475266519892,69.9705654680495,112.742543312947,115.345011664261,90.1880955029322,91.9421996481902,62.1691820810503,61.1303029691727,53.6886965130627,75.8790310154789,93.2966722206345,90.9331256958132,51.0884346331753
2004,77.2405392681608,36.7701893522045,74.6557010562295,114.116833693407,115.270914201813,94.430983316353,97.6195355730816,72.0135695102904,69.15133985217,59.6136649338748,84.1075562404561,95.1763812030198,103.045915188569,53.127467697609
2005,74.2663304054184,33.5717283317567,70.5112660391655,110.484839240517,112.064691293236,84.1751999752174,88.9601246398643,66.5425198207697,61.5540229104277,58.753295051825,78.1348331615912,91.904683795005,94.6963318884695,48.1336737144959
2006,63.3566486212294,33.7273036088988,68.3860702488632,100.952259505763,104.91454426852,50.0097654124883,54.4369417328866,56.1836135193463,54.4487856567261,54.4478398869308,70.255428239617,78.0789497169912,83.7627981558665,40.7137736139001
2007,85.7070116501233,37.758643835706,71.6600113242569,113.648149471598,114.123542150157,87.2204558962232,90.6455871573556,69.2877173025482,68.0735959204394,64.4650070654819,88.9845390516383,91.8761338276171,104.151422623821,53.7557860011919
2008,82.8153763647006,37.4307938404676,75.0891189495543,111.152372723092,113.508521828175,75.7118068121384,79.7309456045467,69.9374383692266,70.8310646441303,62.2414979553659,77.1441355647039,96.2393952392796,102.692538050626,58.4147667233512
2009,81.2757448898987,33.9020590195322,73.1362930183155,109.286131653223,113.140678463908,77.9382996640176,74.9787170973424,72.1704845929637,67.769872120552,63.6604052414993,76.4679231602964,94.0865478454891,100.853975025157,52.9815600000794
2010,85.0058213381297,35.2736832796681,70.6922063747814,108.538394229888,112.209812528328,77.6230277112307,84.9946646134871,63.5558655848119,66.4687821738351,56.953244197641,77.9760655507027,92.0038361380768,100.360292469883,49.2716663515157
2011,73.6661246743082,32.1467857929401,63.3338393583176,108.224471034321,118.560974046494,64.9983927987548,66.8328941381255,72.6774549849625,55.0735962788768,55.0882053665094,77.5134177151288,84.7485719706827,85.9763322974682,41.5356179623259
2012,84.2935496036028,33.881529091028,72.128133877154,116.399356595101,116.277014080543,88.3134873483414,95.0321881663888,84.1083876841935,65.2966135484454,60.9305666212763,81.7203693025304,97.0887002500699,103.00970532872,52.6842225111426
2013,86.4276370585246,31.377169714074,70.5229178513777,112.352513827551,116.749002748132,78.3195766133296,86.4296225409764,72.6859600381205,67.0912509555542,64.2071157061079,76.9786111984173,97.3063952602705,101.761197776581,52.5157943861071
2014,92.4295700712324,32.4975972144731,77.5796688148961,115.210231355731,116.00591096855,81.7393915466543,86.4924031572818,83.0863307581806,72.7365318472193,66.4109159975695,82.5436722123796,100.25598184349,104.574435363263,55.4802708626364
2015,90.8029610630162,30.3653901043639,80.1938254397583,111.2885670387,114.891205638155,87.3353364300206,94.7500142712531,77.3309372317971,73.2471721461375,66.5195251912483,93.0981431610721,100.470491338639,103.852290708436,56.5111215004793
2016,86.45764261815,28.9024695557921,76.2779467240093,107.980646700217,114.758743176975,94.7891214812069,83.7386111470548,74.043774872026,67.9592193132825,70.5069498097045,89.7195431215908,99.3505358207876,102.445876522635,53.2823765178893
2017,75.8596951572148,30.2651820530624,68.0806144034953,100.413076897965,106.324208971339,56.4571920264317,65.0842196554852,64.874083673761,59.508039696021,56.217840868297,77.4411707109309,84.4430657313157,85.5889408637095,46.6918218693226
2018,84.2133597530511,32.5268655472245,72.9357093352773,109.48082646378,113.802887527878,81.0489918819332,93.0957781794731,72.0374677379151,66.9829425310387,63.9375405191297,85.4996612245838,94.2506790341716,100.859295468609,52.7039589258919
2019,71.8182803640936,35.44087838337,68.2425555114457,99.4508376381896,117.113519786474,73.0524386446757,74.6131887595116,59.5438848824481,55.2023197313827,55.0892813908798,75.039256636864,88.4210820772607,88.0164633559256,45.9647240797556
2020,69.3361034609231,33.0435135274074,75.9808407698136,129.718578816119,123.805841979703,107.184829655464,108.707624600114,71.1728648302508,66.3865779876026,61.9805054993535,NA,90.1212950081948,94.0721122353096,51.8559518926056
