"Gear"	"SampleDate"	"Station"	"SizeFraction"	"Dilution"	"TotalCells"	"Processor"	"ProcessDate"	"ProcessingTime"	"AmphipodProcessingTime"	"QC"	"QCDate"	"QCTime"	"Jellies"	"Fish"	"Archive"	"LabComments"
1	1/13/1972 0:00:00	"48"	0	25.00	3					0			0	0		
1	1/13/1972 0:00:00	"50"	0	100.00	2					0			0	0		
1	1/13/1972 0:00:00	"52"	0	200.00	3					0			0	0		
1	1/13/1972 0:00:00	"54"	0	50.00	4					0			0	0		
1	1/13/1972 0:00:00	"56"	0	50.00	2					0			0	0		
1	1/13/1972 0:00:00	"58"	0							0			0	0		"Sample spilled"
1	2/8/1972 0:00:00	"78"	0							0			0	0		
1	2/8/1972 0:00:00	"82"	0	100.00	2					0			0	0		
1	2/8/1972 0:00:00	"84"	0	100.00	2					0			0	0		
1	2/8/1972 0:00:00	"86"	0							0			0	0		
1	2/8/1972 0:00:00	"88"	0	200.00	1					0			0	0		
1	2/8/1972 0:00:00	"90"	0	800.00	1					0			0	0		
1	2/8/1972 0:00:00	"92"	0	200.00	1					0			0	0		
1	2/8/1972 0:00:00	"98"	0	300.00	2					0			0	0		
1	2/8/1972 0:00:00	"D28"	0	200.00	2					0			0	0		
1	2/9/1972 0:00:00	"104"	0	200.00	3					0			0	0		
1	2/9/1972 0:00:00	"60"	0	100.00	2					0			0	0		
1	2/9/1972 0:00:00	"62"	0	100.00	2					0			0	0		
1	2/9/1972 0:00:00	"64"	0	50.00	1					0			0	0		
1	2/9/1972 0:00:00	"68"	0	200.00	2					0			0	0		
1	2/9/1972 0:00:00	"76"	0	100.00	2					0			0	0		
1	2/9/1972 0:00:00	"80"	0	200.00	4					0			0	0		
1	2/9/1972 0:00:00	"D11"	0	100.00	1					0			0	0		
1	2/9/1972 0:00:00	"D14"	0	100.00	2					0			0	0		
1	2/9/1972 0:00:00	"D15"	0	200.00	3					0			0	0		
1	2/9/1972 0:00:00	"D19"	0	200.00	2					0			0	0		
1	2/10/1972 0:00:00	"20"	0	400.00	2					0			0	0		
1	2/10/1972 0:00:00	"22"	0	400.00	2					0			0	0		
1	2/10/1972 0:00:00	"24"	0	400.00	3					0			0	0		
1	2/10/1972 0:00:00	"28"	0	100.00	4					0			0	0		
1	2/10/1972 0:00:00	"30"	0	100.00	2					0			0	0		
1	2/10/1972 0:00:00	"32"	0	200.00	1					0			0	0		
1	2/11/1972 0:00:00	"42"	0	200.00	2					0			0	0		
1	2/11/1972 0:00:00	"44"	0	400.00	4					0			0	0		
1	2/11/1972 0:00:00	"46"	0	100.00	2					0			0	0		
1	2/11/1972 0:00:00	"48"	0	100.00	2					0			0	0		
1	2/14/1972 0:00:00	"33"	0	400.00	1					0			0	0		
1	2/14/1972 0:00:00	"34"	0	200.00	1					0			0	0		
1	2/14/1972 0:00:00	"36"	0	100.00	2					0			0	0		
1	2/14/1972 0:00:00	"38"	0	50.00	1					0			0	0		
1	2/14/1972 0:00:00	"40"	0	400.00	5					0			0	0		
1	2/14/1972 0:00:00	"50"	0	50.00	1					0			0	0		
1	2/14/1972 0:00:00	"52"	0	25.00	8					0			0	0		
1	2/14/1972 0:00:00	"54"	0	800.00	9					0			0	0		
1	2/14/1972 0:00:00	"56"	0	800.00	17					0			0	0		
1	2/14/1972 0:00:00	"58"	0	400.00	6					0			0	0		
1	2/14/1972 0:00:00	"66"	0	100.00	2					0			0	0		
1	2/14/1972 0:00:00	"72"	0	800.00	9					0			0	0		
1	2/14/1972 0:00:00	"74"	0	800.00	12					0			0	0		
1	3/9/1972 0:00:00	"104"	0	300.00	3					0			0	0		
1	3/9/1972 0:00:00	"78"	0	200.00	2					0			0	0		
1	3/9/1972 0:00:00	"80"	0	200.00	3					0			0	0		
1	3/9/1972 0:00:00	"82"	0	100.00	1					0			0	0		
1	3/9/1972 0:00:00	"84"	0	200.00	2					0			0	0		
1	3/9/1972 0:00:00	"86"	0	200.00	2					0			0	0		
1	3/9/1972 0:00:00	"88"	0	200.00	3					0			0	0		
1	3/9/1972 0:00:00	"90"	0	400.00	2					0			0	0		
1	3/9/1972 0:00:00	"92"	0	800.00	1					0			0	0		
1	3/9/1972 0:00:00	"98"	0							0			0	0		
1	3/9/1972 0:00:00	"D15"	0	200.00	1					0			0	0		
1	3/9/1972 0:00:00	"D19"	0	200.00	3					0			0	0		
1	3/9/1972 0:00:00	"D28"	0	150.00	2					0			0	0		
1	3/10/1972 0:00:00	"60"	0	50.00	1					0			0	0		
1	3/10/1972 0:00:00	"62"	0	200.00	4					0			0	0		
1	3/10/1972 0:00:00	"64"	0	200.00	4					0			0	0		
1	3/10/1972 0:00:00	"66"	0	100.00	3					0			0	0		
1	3/10/1972 0:00:00	"68"	0	200.00	5					0			0	0		
1	3/10/1972 0:00:00	"72"	0	200.00	5					0			0	0		
1	3/10/1972 0:00:00	"74"	0	200.00	3					0			0	0		
1	3/10/1972 0:00:00	"76"	0	400.00	5					0			0	0		
1	3/10/1972 0:00:00	"D11"	0	100.00	2					0			0	0		
1	3/10/1972 0:00:00	"D14"	0	100.00	1					0			0	0		
1	3/13/1972 0:00:00	"20"	0	400.00	5					0			0	0		
1	3/13/1972 0:00:00	"22"	0	200.00	2					0			0	0		
1	3/13/1972 0:00:00	"24"	0	400.00	6					0			0	0		
1	3/13/1972 0:00:00	"28"	0	400.00	3					0			0	0		
1	3/13/1972 0:00:00	"30"	0	400.00	4					0			0	0		
1	3/13/1972 0:00:00	"32"	0	800.00	1					0			0	0		
1	3/13/1972 0:00:00	"36"	0	200.00	1					0			0	0		
1	3/13/1972 0:00:00	"38"	0	200.00	1					0			0	0		
1	3/13/1972 0:00:00	"40"	0	200.00	2					0			0	0		
1	3/14/1972 0:00:00	"33"	0	200.00	1					0			0	0		
1	3/14/1972 0:00:00	"34"	0	800.00	7					0			0	0		
1	3/14/1972 0:00:00	"42"	0	300.00	1					0			0	0		
1	3/14/1972 0:00:00	"44"	0	300.00	1					0			0	0		
1	3/14/1972 0:00:00	"46"	0	800.00	2					0			0	0		
1	3/14/1972 0:00:00	"48"	0	300.00	1					0			0	0		
1	3/14/1972 0:00:00	"50"	0	300.00	1					0			0	0		
1	3/14/1972 0:00:00	"52"	0	350.00	1					0			0	0		
1	3/14/1972 0:00:00	"54"	0	400.00	2					0			0	0		
1	3/14/1972 0:00:00	"56"	0	300.00	1					0			0	0		
1	3/14/1972 0:00:00	"58"	0	300.00	2					0			0	0		
1	4/6/1972 0:00:00	"104"	0	800.00	1					0			0	0		
1	4/6/1972 0:00:00	"78"	0	800.00	2					0			0	0		
1	4/6/1972 0:00:00	"80"	0	500.00	1					0			0	0		
1	4/6/1972 0:00:00	"82"	0	400.00	1					0			0	0		
1	4/6/1972 0:00:00	"84"	0	200.00	1					0			0	0		
1	4/6/1972 0:00:00	"86"	0	200.00	2					0			0	0		
1	4/6/1972 0:00:00	"88"	0	800.00	5					0			0	0		
1	4/6/1972 0:00:00	"90"	0	800.00	1					0			0	0		
1	4/6/1972 0:00:00	"92"	0	1600.00	1					0			0	0		
1	4/6/1972 0:00:00	"98"	0	800.00	2					0			0	0		
1	4/6/1972 0:00:00	"D15"	0	800.00	2					0			0	0		
1	4/6/1972 0:00:00	"D19"	0	400.00	2					0			0	0		
1	4/6/1972 0:00:00	"D28"	0	800.00	3					0			0	0		
1	4/7/1972 0:00:00	"60"	0	800.00	1					0			0	0		
1	4/7/1972 0:00:00	"62"	0	500.00	1					0			0	0		
1	4/7/1972 0:00:00	"64"	0	400.00	3					0			0	0		
1	4/7/1972 0:00:00	"66"	0	400.00	4					0			0	0		
1	4/7/1972 0:00:00	"68"	0	100.00	3					0			0	0		
1	4/7/1972 0:00:00	"72"	0	800.00	2					0			0	0		
1	4/7/1972 0:00:00	"74"	0	800.00	1					0			0	0		
1	4/7/1972 0:00:00	"76"	0	800.00	2					0			0	0		
1	4/7/1972 0:00:00	"D11"	0	400.00	1					0			0	0		
1	4/7/1972 0:00:00	"D14"	0	400.00	1					0			0	0		
1	4/10/1972 0:00:00	"20"	0	800.00	3					0			0	0		
1	4/10/1972 0:00:00	"22"	0	800.00	3					0			0	0		
1	4/10/1972 0:00:00	"24"	0	800.00	3					0			0	0		
1	4/10/1972 0:00:00	"28"	0	400.00	2					0			0	0		
1	4/10/1972 0:00:00	"30"	0	400.00	2					0			0	0		
1	4/10/1972 0:00:00	"32"	0	800.00	2					0			0	0		
1	4/10/1972 0:00:00	"36"	0	400.00	1					0			0	0		
1	4/10/1972 0:00:00	"38"	0	400.00	2					0			0	0		
1	4/10/1972 0:00:00	"40"	0	800.00	2					0			0	0		
1	4/11/1972 0:00:00	"33"	0	400.00	4					0			0	0		
1	4/11/1972 0:00:00	"34"	0	800.00	11					0			0	0		
1	4/11/1972 0:00:00	"42"	0	800.00	1					0			0	0		
1	4/11/1972 0:00:00	"44"	0	800.00	2					0			0	0		
1	4/11/1972 0:00:00	"46"	0	800.00	3					0			0	0		
1	4/11/1972 0:00:00	"48"	0	800.00	1					0			0	0		
1	4/11/1972 0:00:00	"50"	0	400.00	1					0			0	0		
1	4/11/1972 0:00:00	"52"	0	500.00	1					0			0	0		
1	4/11/1972 0:00:00	"54"	0	800.00	3					0			0	0		
1	4/11/1972 0:00:00	"56"	0	800.00	2					0			0	0		
1	4/11/1972 0:00:00	"58"	0	800.00	1					0			0	0		
1	4/19/1972 0:00:00	"104"	0	800.00	1					0			0	0		
1	4/19/1972 0:00:00	"80"	0	800.00	3					0			0	0		
1	4/19/1972 0:00:00	"82"	0	800.00	3					0			0	0		
1	4/19/1972 0:00:00	"84"	0	800.00	4					0			0	0		
1	4/19/1972 0:00:00	"86"	0	800.00	4					0			0	0		
1	4/19/1972 0:00:00	"88"	0	1600.00	4					0			0	0		
1	4/19/1972 0:00:00	"90"	0	800.00	1					0			0	0		
1	4/19/1972 0:00:00	"92"	0	800.00	1					0			0	0		
1	4/19/1972 0:00:00	"98"	0	800.00	1					0			0	0		
1	4/19/1972 0:00:00	"D15"	0	800.00	2					0			0	0		
1	4/19/1972 0:00:00	"D19"	0	800.00	3					0			0	0		
1	4/20/1972 0:00:00	"60"	0	800.00	2					0			0	0		
1	4/20/1972 0:00:00	"62"	0	800.00	4					0			0	0		
1	4/20/1972 0:00:00	"72"	0	800.00	3					0			0	0		
1	4/20/1972 0:00:00	"74"	0	800.00	2					0			0	0		
1	4/20/1972 0:00:00	"76"	0	800.00	2					0			0	0		
1	4/20/1972 0:00:00	"78"	0	800.00	2					0			0	0		
1	4/20/1972 0:00:00	"D11"	0	800.00	3					0			0	0		
1	4/20/1972 0:00:00	"D14"	0	800.00	2					0			0	0		
1	4/20/1972 0:00:00	"D28"	0	1600.00	12					0			0	0		
1	4/21/1972 0:00:00	"20"	0	1600.00	3					0			0	0		
1	4/21/1972 0:00:00	"22"	0	400.00	2					0			0	0		
1	4/21/1972 0:00:00	"24"	0	800.00	4					0			0	0		
1	4/21/1972 0:00:00	"28"	0	400.00	4					0			0	0		
1	4/21/1972 0:00:00	"30"	0	400.00	3					0			0	0		
1	4/21/1972 0:00:00	"32"	0	800.00	3					0			0	0		
1	4/21/1972 0:00:00	"36"	0	800.00	4					0			0	0		
1	4/21/1972 0:00:00	"38"	0	800.00	4					0			0	0		
1	4/21/1972 0:00:00	"40"	0	800.00	2					0			0	0		
1	4/21/1972 0:00:00	"64"	0	800.00	4					0			0	0		
1	4/21/1972 0:00:00	"66"	0	800.00	11					0			0	0		
1	4/21/1972 0:00:00	"68"	0	800.00	4					0			0	0		
1	4/24/1972 0:00:00	"33"	0	400.00	2					0			0	0		
1	4/24/1972 0:00:00	"34"	0	800.00	11					0			0	0		
1	4/24/1972 0:00:00	"42"	0	800.00	2					0			0	0		
1	4/24/1972 0:00:00	"44"	0	800.00	2					0			0	0		
1	4/24/1972 0:00:00	"46"	0	400.00	2					0			0	0		
1	4/24/1972 0:00:00	"48"	0	400.00	2					0			0	0		
1	4/24/1972 0:00:00	"50"	0	800.00	1					0			0	0		
1	4/24/1972 0:00:00	"52"	0	800.00	2					0			0	0		
1	4/24/1972 0:00:00	"54"	0	800.00	2					0			0	0		
1	4/24/1972 0:00:00	"56"	0	800.00	3					0			0	0		
1	4/24/1972 0:00:00	"58"	0	1600.00	2					0			0	0		
1	5/3/1972 0:00:00	"104"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"78"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"80"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"82"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"84"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"86"	0	800.00	2					0			0	0		
1	5/3/1972 0:00:00	"88"	0	1600.00	3					0			0	0		
1	5/3/1972 0:00:00	"90"	0	800.00	2					0			0	0		
1	5/3/1972 0:00:00	"92"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"98"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"D15"	0	800.00	1					0			0	0		
1	5/3/1972 0:00:00	"D28"	0	800.00	2					0			0	0		
1	5/5/1972 0:00:00	"60"	0	800.00	1					0			0	0		
1	5/5/1972 0:00:00	"62"	0	1600.00	3					0			0	0		
1	5/5/1972 0:00:00	"64"	0	800.00	1					0			0	0		
1	5/5/1972 0:00:00	"66"	0	800.00	3					0			0	0		
1	5/5/1972 0:00:00	"68"	0	800.00	2					0			0	0		
1	5/5/1972 0:00:00	"72"	0	800.00	3					0			0	0		
1	5/5/1972 0:00:00	"74"	0	800.00	2					0			0	0		
1	5/5/1972 0:00:00	"76"	0	800.00	2					0			0	0		
1	5/5/1972 0:00:00	"D11"	0	800.00	3					0			0	0		
1	5/5/1972 0:00:00	"D14"	0	800.00	1					0			0	0		
1	5/5/1972 0:00:00	"D19"	0	800.00	3					0			0	0		
1	5/7/1972 0:00:00	"20"	0	800.00	1					0			0	0		
1	5/7/1972 0:00:00	"22"	0	800.00	1					0			0	0		
1	5/7/1972 0:00:00	"24"	0	800.00	2					0			0	0		
1	5/7/1972 0:00:00	"28"	0	800.00	3					0			0	0		
1	5/7/1972 0:00:00	"30"	0	800.00	2					0			0	0		
1	5/7/1972 0:00:00	"32"	0	800.00	1					0			0	0		
1	5/7/1972 0:00:00	"36"	0	800.00	2					0			0	0		
1	5/7/1972 0:00:00	"38"	0	800.00	2					0			0	0		
1	5/7/1972 0:00:00	"40"	0	800.00	1					0			0	0		
1	5/9/1972 0:00:00	"33"	0	800.00	3					0			0	0		
1	5/9/1972 0:00:00	"34"	0	800.00	13					0			0	0		
1	5/9/1972 0:00:00	"42"	0	800.00	1					0			0	0		
1	5/9/1972 0:00:00	"44"	0	800.00	2					0			0	0		
1	5/9/1972 0:00:00	"46"	0	800.00	2					0			0	0		
1	5/9/1972 0:00:00	"48"	0	800.00	1					0			0	0		
1	5/9/1972 0:00:00	"50"	0	800.00	1					0			0	0		
1	5/9/1972 0:00:00	"52"	0	800.00	1					0			0	0		
1	5/9/1972 0:00:00	"54"	0	800.00	2					0			0	0		
1	5/9/1972 0:00:00	"56"	0	1600.00	3					0			0	0		
1	5/9/1972 0:00:00	"58"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"104"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"78"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"80"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"82"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"84"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"86"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"88"	0							0			0	0		"Keypunch sheet - ""sample missing"""
1	5/17/1972 0:00:00	"90"	0	1600.00	2					0			0	0		
1	5/17/1972 0:00:00	"92"	0	800.00	1					0			0	0		
1	5/17/1972 0:00:00	"98"	0	1600.00	1					0			0	0		
1	5/17/1972 0:00:00	"D19"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"60"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"62"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"64"	0	800.00	2					0			0	0		
1	5/19/1972 0:00:00	"66"	0	1600.00	1					0			0	0		
1	5/19/1972 0:00:00	"68"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"72"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"74"	0	800.00	2					0			0	0		
1	5/19/1972 0:00:00	"76"	0	1600.00	3					0			0	0		
1	5/19/1972 0:00:00	"D11"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"D14"	0	800.00	1					0			0	0		
1	5/19/1972 0:00:00	"D15"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"20"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"22"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"24"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"28"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"30"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"32"	0	1600.00	2					0			0	0		
1	5/21/1972 0:00:00	"36"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"38"	0	800.00	1					0			0	0		
1	5/21/1972 0:00:00	"40"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"33"	0	800.00	2					0			0	0		
1	5/23/1972 0:00:00	"34"	0	800.00	5					0			0	0		
1	5/23/1972 0:00:00	"42"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"44"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"46"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"48"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"50"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"52"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"54"	0	1600.00	1					0			0	0		
1	5/23/1972 0:00:00	"56"	0	800.00	1					0			0	0		
1	5/23/1972 0:00:00	"58"	0	800.00	1					0			0	0		
1	6/5/1972 0:00:00	"104"	0	800.00	2					0			0	0		
1	6/5/1972 0:00:00	"78"	0	800.00	3					0			0	0		
1	6/5/1972 0:00:00	"80"	0	800.00	2					0			0	0		
1	6/5/1972 0:00:00	"82"	0	800.00	2					0			0	0		
1	6/5/1972 0:00:00	"84"	0	800.00	1					0			0	0		
1	6/5/1972 0:00:00	"86"	0	800.00	1					0			0	0		
1	6/5/1972 0:00:00	"88"	0	800.00	1					0			0	0		
1	6/5/1972 0:00:00	"90"	0	800.00	1					0			0	0		
1	6/5/1972 0:00:00	"92"	0	1600.00	1					0			0	0		
1	6/5/1972 0:00:00	"98"	0	800.00	1					0			0	0		
1	6/5/1972 0:00:00	"D15"	0	800.00	2					0			0	0		
1	6/5/1972 0:00:00	"D19"	0	800.00	2					0			0	0		
1	6/5/1972 0:00:00	"D28"	0	800.00	1					0			0	0		
1	6/6/1972 0:00:00	"60"	0	800.00	2					0			0	0		
1	6/6/1972 0:00:00	"62"	0	800.00	3					0			0	0		
1	6/6/1972 0:00:00	"64"	0	800.00	3					0			0	0		
1	6/6/1972 0:00:00	"66"	0	800.00	1					0			0	0		
1	6/6/1972 0:00:00	"68"	0	800.00	2					0			0	0		
1	6/6/1972 0:00:00	"72"	0	800.00	5					0			0	0		
1	6/6/1972 0:00:00	"74"	0	800.00	5					0			0	0		
1	6/6/1972 0:00:00	"76"	0	800.00	5					0			0	0		
1	6/6/1972 0:00:00	"D11"	0	800.00	3					0			0	0		
1	6/6/1972 0:00:00	"D14"	0	800.00	4					0			0	0		
1	6/7/1972 0:00:00	"20"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"22"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"24"	0	800.00	2					0			0	0		
1	6/7/1972 0:00:00	"28"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"30"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"32"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"36"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"38"	0	800.00	1					0			0	0		
1	6/7/1972 0:00:00	"40"	0	800.00	1					0			0	0		
1	6/8/1972 0:00:00	"33"	0	800.00	2					0			0	0		
1	6/8/1972 0:00:00	"34"	0	800.00	4					0			0	0		
1	6/8/1972 0:00:00	"42"	0	800.00	1					0			0	0		
1	6/8/1972 0:00:00	"44"	0	800.00	1					0			0	0		
1	6/8/1972 0:00:00	"46"	0	800.00	1					0			0	0		
1	6/8/1972 0:00:00	"48"	0	800.00	1					0			0	0		
1	6/8/1972 0:00:00	"50"	0	800.00	1					0			0	0		
1	6/8/1972 0:00:00	"52"	0	800.00	2					0			0	0		
1	6/8/1972 0:00:00	"54"	0	1600.00	1					0			0	0		
1	6/8/1972 0:00:00	"56"	0	1600.00	2					0			0	0		
1	6/8/1972 0:00:00	"58"	0	800.00	1					0			0	0		
1	6/19/1972 0:00:00	"104"	0	800.00	2					0			0	0		
1	6/19/1972 0:00:00	"78"	0	800.00	3					0			0	0		
1	6/19/1972 0:00:00	"80"	0	800.00	1					0			0	0		
1	6/19/1972 0:00:00	"82"	0	800.00	1					0			0	0		
1	6/19/1972 0:00:00	"84"	0	800.00	2					0			0	0		
1	6/19/1972 0:00:00	"86"	0	800.00	2					0			0	0		
1	6/19/1972 0:00:00	"88"	0	800.00	1					0			0	0		
1	6/19/1972 0:00:00	"90"	0	800.00	1					0			0	0		
1	6/19/1972 0:00:00	"92"	0	1600.00	1					0			0	0		
1	6/19/1972 0:00:00	"98"	0	800.00	1					0			0	0		
1	6/19/1972 0:00:00	"D15"	0	800.00	2					0			0	0		
1	6/19/1972 0:00:00	"D19"	0	1600.00	2					0			0	0		
1	6/19/1972 0:00:00	"D28"	0	800.00	2					0			0	0		
1	6/20/1972 0:00:00	"60"	0	800.00	1					0			0	0		
1	6/20/1972 0:00:00	"62"	0	800.00	2					0			0	0		
1	6/20/1972 0:00:00	"64"	0	800.00	3					0			0	0		
1	6/20/1972 0:00:00	"66"	0	800.00	4					0			0	0		
1	6/20/1972 0:00:00	"68"	0	800.00	1					0			0	0		
1	6/20/1972 0:00:00	"72"	0	800.00	2					0			0	0		
1	6/20/1972 0:00:00	"74"	0	800.00	3					0			0	0		
1	6/20/1972 0:00:00	"76"	0	800.00	2					0			0	0		
1	6/20/1972 0:00:00	"D11"	0	800.00	4					0			0	0		
1	6/20/1972 0:00:00	"D14"	0	800.00	3					0			0	0		
1	6/21/1972 0:00:00	"20"	0	800.00	1					0			0	0		
1	6/21/1972 0:00:00	"22"	0	1600.00	2					0			0	0		
1	6/21/1972 0:00:00	"24"	0	800.00	1					0			0	0		
1	6/21/1972 0:00:00	"28"	0	1600.00	1					0			0	0		
1	6/21/1972 0:00:00	"30"	0	1600.00	1					0			0	0		
1	6/21/1972 0:00:00	"32"	0	800.00	1					0			0	0		
1	6/21/1972 0:00:00	"36"	0	800.00	1					0			0	0		
1	6/21/1972 0:00:00	"38"	0	800.00	1					0			0	0		
1	6/21/1972 0:00:00	"40"	0	400.00	1					0			0	0		
1	6/22/1972 0:00:00	"33"	0	800.00	2					0			0	0		
1	6/22/1972 0:00:00	"34"	0	800.00	1					0			0	0		
1	6/22/1972 0:00:00	"42"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"44"	0	800.00	1					0			0	0		
1	6/22/1972 0:00:00	"46"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"48"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"50"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"52"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"54"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"56"	0	1600.00	1					0			0	0		
1	6/22/1972 0:00:00	"58"	0	1600.00	1					0			0	0		
1	7/4/1972 0:00:00	"104"	0	1600.00	2					0			0	0		
1	7/4/1972 0:00:00	"78"	0	800.00	2					0			0	0		
1	7/4/1972 0:00:00	"80"	0	800.00	1					0			0	0		
1	7/4/1972 0:00:00	"82"	0	3200.00	1					0			0	0		
1	7/4/1972 0:00:00	"84"	0	3200.00	1					0			0	0		
1	7/4/1972 0:00:00	"86"	0	1600.00	1					0			0	0		
1	7/4/1972 0:00:00	"88"	0	1600.00	2					0			0	0		
1	7/4/1972 0:00:00	"90"	0	800.00	1					0			0	0		
1	7/4/1972 0:00:00	"92"	0	1600.00	1					0			0	0		
1	7/4/1972 0:00:00	"98"	0	800.00	1					0			0	0		
1	7/4/1972 0:00:00	"D15"	0	1600.00	3					0			0	0		
1	7/4/1972 0:00:00	"D19"	0	800.00	2					0			0	0		
1	7/4/1972 0:00:00	"D28"	0	800.00	1					0			0	0		
1	7/5/1972 0:00:00	"60"	0	1600.00	1					0			0	0		
1	7/5/1972 0:00:00	"62"	0	1600.00	2					0			0	0		
